noise,p2,swi6,all_tauA_startA,all_tauM_startM
500,0.0002,50,1.0,0.01
500,0.0002,105,1.0,0.025
500,0.0002,160,1.0,0.035
500,0.0002,215,1.0,0.045
500,0.0002,270,1.0,0.045
500,0.0002,325,1.0,0.04
500,0.0002,380,1.0,0.07
500,0.0002,435,0.995,0.125
500,0.0002,490,1.0,0.065
500,0.0002,545,1.0,0.065
500,0.0002,600,1.0,0.065
500,0.00022,50,1.0,0.01
500,0.00022,105,1.0,0.03
500,0.00022,160,1.0,0.065
500,0.00022,215,1.0,0.07
500,0.00022,270,1.0,0.06
500,0.00022,325,1.0,0.055
500,0.00022,380,1.0,0.645
500,0.00022,435,1.0,0.16
500,0.00022,490,0.85,0.595
500,0.00022,545,0.99,0.605
500,0.00022,600,1.0,0.53
500,0.00024,50,1.0,0.01
500,0.00024,105,1.0,0.065
500,0.00024,160,1.0,0.115
500,0.00024,215,1.0,0.09
500,0.00024,270,1.0,0.255
500,0.00024,325,1.0,0.84
500,0.00024,380,1.0,0.9
500,0.00024,435,1.0,0.865
500,0.00024,490,0.495,0.855
500,0.00024,545,1.0,0.885
500,0.00024,600,0.795,0.67
500,0.00026,50,1.0,0.02
500,0.00026,105,1.0,0.04
500,0.00026,160,1.0,0.075
500,0.00026,215,1.0,0.775
500,0.00026,270,1.0,0.93
500,0.00026,325,1.0,0.755
500,0.00026,380,1.0,0.97
500,0.00026,435,1.0,0.975
500,0.00026,490,1.0,0.985
500,0.00026,545,0.475,0.98
500,0.00026,600,0.385,0.99
500,0.00029,50,1.0,0.015
500,0.00029,105,1.0,0.115
500,0.00029,160,1.0,0.795
500,0.00029,215,1.0,0.99
500,0.00029,270,1.0,0.985
500,0.00029,325,1.0,0.995
500,0.00029,380,1.0,0.995
500,0.00029,435,0.85,1.0
500,0.00029,490,0.44,1.0
500,0.00029,545,0.32,1.0
500,0.00029,600,0.155,1.0
500,0.00032,50,1.0,0.015
500,0.00032,105,1.0,0.12
500,0.00032,160,1.0,0.98
500,0.00032,215,1.0,1.0
500,0.00032,270,1.0,1.0
500,0.00032,325,1.0,1.0
500,0.00032,380,0.19,1.0
500,0.00032,435,0.145,1.0
500,0.00032,490,0.14,1.0
500,0.00032,545,0.135,1.0
500,0.00032,600,0.145,1.0
500,0.00035,50,1.0,0.055
500,0.00035,105,1.0,0.78
500,0.00035,160,1.0,0.995
500,0.00035,215,1.0,1.0
500,0.00035,270,1.0,1.0
500,0.00035,325,1.0,1.0
500,0.00035,380,0.16,1.0
500,0.00035,435,0.155,1.0
500,0.00035,490,0.325,1.0
500,0.00035,545,0.16,1.0
500,0.00035,600,0.15,1.0
500,0.00038,50,1.0,0.14
500,0.00038,105,1.0,0.815
500,0.00038,160,1.0,1.0
500,0.00038,215,1.0,1.0
500,0.00038,270,1.0,1.0
500,0.00038,325,0.455,1.0
500,0.00038,380,0.09,1.0
500,0.00038,435,0.34,1.0
500,0.00038,490,0.15,1.0
500,0.00038,545,0.155,1.0
500,0.00038,600,0.045,1.0
500,0.00042,50,1.0,0.04
500,0.00042,105,1.0,1.0
500,0.00042,160,1.0,1.0
500,0.00042,215,1.0,1.0
500,0.00042,270,1.0,1.0
500,0.00042,325,0.06,1.0
500,0.00042,380,0.74,1.0
500,0.00042,435,0.14,1.0
500,0.00042,490,0.06,1.0
500,0.00042,545,0.055,1.0
500,0.00042,600,0.06,1.0
500,0.00046,50,1.0,0.115
500,0.00046,105,1.0,1.0
500,0.00046,160,1.0,1.0
500,0.00046,215,0.95,1.0
500,0.00046,270,0.995,1.0
500,0.00046,325,0.86,1.0
500,0.00046,380,0.185,1.0
500,0.00046,435,0.16,1.0
500,0.00046,490,0.155,1.0
500,0.00046,545,0.025,1.0
500,0.00046,600,0.055,1.0
500,0.0005,50,1.0,0.13
500,0.0005,105,1.0,1.0
500,0.0005,160,1.0,1.0
500,0.0005,215,1.0,1.0
500,0.0005,270,0.19,1.0
500,0.0005,325,0.04,1.0
500,0.0005,380,0.14,1.0
500,0.0005,435,0.045,1.0
500,0.0005,490,0.04,1.0
500,0.0005,545,0.03,1.0
500,0.0005,600,0.045,1.0
